"Subject_ID" "Activity_labels" "MeanOfVar_Mean" "MeanOfVar_sd"
1 "LAYING" -0.594380178049722 0.611451148764378
1 "SITTING" -0.623846213414639 0.582241515300571
1 "STANDING" -0.636092925867264 0.594029280186822
1 "WALKING" -0.315472758507336 0.458009551071485
1 "WALKING_DOWNSTAIRS" -0.29009455265956 0.477936578952603
1 "WALKING_UPSTAIRS" -0.401388904750031 0.497265430592061
2 "LAYING" -0.625100883319179 0.619107333900327
2 "SITTING" -0.62927494154806 0.579978224140733
2 "STANDING" -0.623361499203227 0.594638708989552
2 "WALKING" -0.380175564343678 0.484241332252656
2 "WALKING_DOWNSTAIRS" -0.250812414155698 0.493491523116385
2 "WALKING_UPSTAIRS" -0.356658005254721 0.4860092415866
3 "LAYING" -0.624780450868026 0.617718416839172
3 "SITTING" -0.609674816991795 0.587845493212547
3 "STANDING" -0.611972739382706 0.593022229627223
3 "WALKING" -0.37955038529301 0.49347234611412
3 "WALKING_DOWNSTAIRS" -0.33975657867209 0.510580860786206
3 "WALKING_UPSTAIRS" -0.415087029820502 0.512955263604546
4 "LAYING" -0.61242789946983 0.635631698177272
4 "SITTING" -0.612207485711511 0.595932737450143
4 "STANDING" -0.601967964282015 0.610501727941352
4 "WALKING" -0.421389400249016 0.522014799355604
4 "WALKING_DOWNSTAIRS" -0.351185770000052 0.536662243825188
4 "WALKING_UPSTAIRS" -0.404327307420214 0.525295682560374
5 "LAYING" -0.611591620855504 0.654325660592376
5 "SITTING" -0.610371914185635 0.611950766733885
5 "STANDING" -0.600429585313383 0.621921257085554
5 "WALKING" -0.367679796763257 0.524743903004968
5 "WALKING_DOWNSTAIRS" -0.282660730175622 0.545570549341156
5 "WALKING_UPSTAIRS" -0.343741553878145 0.530225757863487
6 "LAYING" -0.59740939386339 0.661216512230162
6 "SITTING" -0.606999017371962 0.626745602641709
6 "STANDING" -0.609059376045215 0.638193703309657
6 "WALKING" -0.324962020005763 0.536110878140058
6 "WALKING_DOWNSTAIRS" -0.183047198565184 0.560043922204705
6 "WALKING_UPSTAIRS" -0.316296409550968 0.543620122878048
7 "LAYING" -0.60449877376169 0.687636460153081
7 "SITTING" -0.608647802963612 0.653132135398783
7 "STANDING" -0.611713297426314 0.661097608437958
7 "WALKING" -0.292474142073663 0.553952498083583
7 "WALKING_DOWNSTAIRS" -0.299270393570374 0.580809890147096
7 "WALKING_UPSTAIRS" -0.411076084411656 0.579787959901527
8 "LAYING" -0.60152754910627 0.710687488676913
8 "SITTING" -0.615715364701026 0.676327710337269
8 "STANDING" -0.615691760456745 0.689572454475903
8 "WALKING" -0.283696657892499 0.579639321591028
8 "WALKING_DOWNSTAIRS" -0.17410697916693 0.588717826681259
8 "WALKING_UPSTAIRS" -0.275522837583137 0.588193580414511
9 "LAYING" -0.601066683370697 0.721803033797322
9 "SITTING" -0.603724410699294 0.689384401479485
9 "STANDING" -0.608177325722448 0.703727845715789
9 "WALKING" -0.353687275247877 0.613301600256508
9 "WALKING_DOWNSTAIRS" -0.291757798340617 0.631160816697625
9 "WALKING_UPSTAIRS" -0.40720952628002 0.630718877347697
10 "LAYING" -0.604507780863246 0.752206220150427
10 "SITTING" -0.614510105371295 0.728486672928841
10 "STANDING" -0.603565837110016 0.729269411301962
10 "WALKING" -0.307427500860972 0.634047890739642
10 "WALKING_DOWNSTAIRS" -0.240078869666351 0.647488996828597
10 "WALKING_UPSTAIRS" -0.32416055276416 0.642479144043294
11 "LAYING" -0.612658084646238 0.779412726416059
11 "SITTING" -0.60875155280005 0.750598102462589
